model,strategy,fold,macro_f1,auprc_macro,fit_time_s,pred_time_s,n_train_after_resample
LogisticRegression,class_weight,1,0.3597456102233876,0.4223309154646451,0.197,0.0047,5946
RandomForest,class_weight,1,0.5027173176817377,0.49810818026081344,0.222,0.0318,5946
XGBoost,class_weight,1,0.5834302213828862,0.5682738745498228,1.743,0.0183,5946
LogisticRegression,smote,1,0.410427062482222,0.4232367977525895,0.848,0.0031,15789
RandomForest,smote,1,0.4751768084316445,0.4909088434917406,0.317,0.032,15789
XGBoost,smote,1,0.47444304101002666,0.5014312092050887,2.649,0.0085,15789
LogisticRegression,class_weight,2,0.3692656221462092,0.42266058087543984,0.17,0.0039,5946
RandomForest,class_weight,2,0.5369613906682741,0.5189357200532135,0.199,0.0342,5946
XGBoost,class_weight,2,0.589693295341262,0.6004183238398159,1.706,0.0131,5946
LogisticRegression,smote,2,0.4421229056077045,0.45203329158172284,0.766,0.0032,15789
RandomForest,smote,2,0.5039635195534063,0.5079071406788614,0.318,0.0311,15789
XGBoost,smote,2,0.4851336774629454,0.4908212899175221,1.393,0.0067,15789
LogisticRegression,class_weight,3,0.36035481840060024,0.41487737343398806,0.18,0.0032,5946
RandomForest,class_weight,3,0.4954677955507572,0.47293147964961024,0.189,0.0322,5946
XGBoost,class_weight,3,0.5516464027818164,0.538652356591388,1.784,0.0126,5946
LogisticRegression,smote,3,0.4130568395445515,0.4180514779312314,0.792,0.0034,15789
RandomForest,smote,3,0.49136278047364274,0.4744170027612502,0.327,0.0317,15789
XGBoost,smote,3,0.48160473328862746,0.4952340750970013,1.989,0.0072,15789
LogisticRegression,class_weight,4,0.37116594759156535,0.4287396802160348,0.169,0.003,5946
RandomForest,class_weight,4,0.5533508818472836,0.5246157570872673,0.193,0.0315,5946
XGBoost,class_weight,4,0.5815838782061074,0.5761476571994644,1.654,0.0124,5946
LogisticRegression,smote,4,0.4366837766986029,0.42916159197116394,0.826,0.0033,15789
RandomForest,smote,4,0.4906036174119152,0.5115131167922793,0.351,0.0321,15789
XGBoost,smote,4,0.4378162761127033,0.4921358625310687,2.367,0.0096,15789
LogisticRegression,class_weight,5,0.38370027523292977,0.4142152806132362,0.239,0.0031,5947
RandomForest,class_weight,5,0.5339041322861782,0.5327651873110565,0.208,0.0333,5947
XGBoost,class_weight,5,0.5950816828247526,0.6101142652278951,2.135,0.0145,5947
LogisticRegression,smote,5,0.4052311642564435,0.4068538921142837,0.888,0.0036,15789
RandomForest,smote,5,0.5115527126273395,0.5077182901375636,0.364,0.0317,15789
XGBoost,smote,5,0.46966993576577415,0.5098518641142454,1.883,0.0066,15789
