w_on_time,w_at_risk,w_delayed,oof_expected_cost,oof_macro_f1,oof_recall_at_risk,oof_recall_delayed
1.0,2.0,4.0,0.4181,0.5453,0.4828,0.5985
1.0,1.5,4.0,0.4208,0.5492,0.4286,0.6111
1.0,2.5,4.0,0.422,0.5399,0.5172,0.5859
1.0,4.0,4.0,0.4238,0.5269,0.5913,0.5556
1.0,3.0,4.0,0.4245,0.5348,0.5443,0.5758
1.0,2.0,3.0,0.4277,0.5539,0.4973,0.5581
1.0,2.5,3.0,0.4292,0.5488,0.5298,0.5505
1.0,4.0,3.0,0.4293,0.5345,0.6004,0.5227
1.0,1.5,3.0,0.4295,0.558,0.4412,0.5707
1.0,2.0,2.5,0.4327,0.5585,0.5045,0.5328
1.0,4.0,2.5,0.433,0.5386,0.6058,0.5025
1.0,3.0,3.0,0.4332,0.5403,0.5497,0.5354
1.0,4.0,2.0,0.4356,0.5455,0.613,0.4874
1.0,2.5,2.5,0.4358,0.5501,0.5316,0.5202
1.0,1.0,4.0,0.4363,0.5401,0.34,0.6162
1.0,1.5,2.5,0.4369,0.5628,0.4503,0.5404
1.0,4.0,1.5,0.4371,0.55,0.6221,0.4596
1.0,2.0,2.0,0.4371,0.5617,0.5063,0.5076
1.0,3.0,2.5,0.4372,0.5436,0.5533,0.5101
1.0,2.5,2.0,0.44,0.5551,0.5371,0.4975
1.0,1.5,2.0,0.4401,0.5689,0.4575,0.5202
1.0,3.0,2.0,0.441,0.5498,0.5588,0.4949
1.0,3.0,1.5,0.4415,0.5581,0.566,0.4798
1.0,2.0,1.5,0.4427,0.5676,0.5136,0.4798
1.0,2.5,1.5,0.4433,0.562,0.5407,0.4798
1.0,4.0,1.0,0.4442,0.554,0.6293,0.4192
1.0,1.0,3.0,0.4446,0.5513,0.3526,0.5833
1.0,2.0,1.0,0.4455,0.5811,0.5226,0.4646
1.0,3.0,1.0,0.4473,0.5645,0.5732,0.4419
1.0,2.5,1.0,0.4476,0.5717,0.5533,0.447
1.0,1.5,1.5,0.4502,0.5725,0.4629,0.4848
1.0,1.5,1.0,0.4532,0.5846,0.472,0.4646
1.0,1.0,2.5,0.4534,0.5561,0.3617,0.553
1.0,1.0,2.0,0.4572,0.5626,0.3689,0.5303
1.0,1.0,1.5,0.4683,0.5689,0.3816,0.4924
1.0,1.0,1.0,0.4721,0.5813,0.3906,0.4697
