config_id,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,cv_macro_f1_mean,cv_macro_f1_std,mean_fit_time_s,mean_best_iteration
15,900,0.05,6,1,1.0,1.0,1.0,0.5799238906203252,0.016961343931235717,5.37876638006419,885.4
14,900,0.05,6,1,0.8,0.8,1.0,0.5788510509063374,0.016929138515512393,6.092130220029503,848.2
19,900,0.1,8,1,0.8,0.8,5.0,0.571912989447872,0.017767214917677198,3.5766200399026276,320.0
10,600,0.1,8,1,0.8,0.8,5.0,0.571912989447872,0.017767214917677198,5.4482517200522125,320.0
8,600,0.05,8,1,0.8,0.8,5.0,0.568201401525111,0.020349220632169693,5.6223218200728295,595.8
6,600,0.05,6,1,1.0,1.0,1.0,0.5678066839212325,0.016485148626921117,3.5608624199405314,599.0
4,300,0.05,8,1,1.0,0.8,1.0,0.567124848725695,0.01973847130053461,2.337158379983157,299.0
20,900,0.1,8,5,1.0,0.8,1.0,0.5669234145277429,0.020846802607979414,2.679820980038494,359.6
17,900,0.05,8,5,0.8,1.0,5.0,0.5580393462023986,0.019565601214364223,7.0266715798527,758.4
16,900,0.05,6,5,1.0,1.0,5.0,0.5534845539142774,0.004157915459197307,5.421379579976201,898.8
18,900,0.1,4,1,0.8,0.8,5.0,0.5525789812466263,0.015660329705789806,5.251382120046765,891.2
9,600,0.1,4,1,0.8,1.0,1.0,0.549065868654733,0.01003912788581915,3.3710735199972985,598.2
7,600,0.05,6,1,1.0,1.0,5.0,0.5479734201687279,0.014520115844191512,3.789087160024792,598.8
11,900,0.05,4,1,0.8,0.8,1.0,0.5339274920833714,0.009812391244377421,5.933361079916358,898.8
13,900,0.05,4,5,1.0,1.0,1.0,0.5205448391794285,0.016394515550246607,4.399790259823203,899.0
2,300,0.05,6,5,0.8,0.8,1.0,0.5155983466563007,0.015502526721823283,2.076904819905758,298.8
3,300,0.05,6,5,0.8,1.0,1.0,0.5131287178481402,0.012090727438043042,2.1272647601552306,299.0
12,900,0.05,4,5,0.8,1.0,5.0,0.5113362412077455,0.00988817717228371,5.314625540189445,898.6
1,300,0.05,6,1,1.0,1.0,5.0,0.5006062293329668,0.012191899870817638,2.05153203997761,299.0
5,300,0.1,4,1,1.0,1.0,5.0,0.48447502413786514,0.0061191172393024185,1.4399213599972427,299.0
