model,repeat,fold,macro_f1,auprc_macro,fit_time_s,pred_time_s
XGBoost (tuned candidate),1,1,0.5627951903118991,0.5570487454760914,5.149,0.0645
XGBoost (M3 default),1,1,0.585146718549714,0.568389193980782,2.865,0.0438
LogisticRegression (baseline),1,1,0.3625983981360128,0.42473881527532015,0.4,0.007
XGBoost (tuned candidate),1,2,0.6145378726384313,0.6047171869227628,5.028,0.0697
XGBoost (M3 default),1,2,0.6050952814407273,0.6125443246052519,3.125,0.0414
LogisticRegression (baseline),1,2,0.37564062662101877,0.4297138155870372,0.273,0.0043
XGBoost (tuned candidate),1,3,0.5523851728587105,0.5604200107229462,5.077,0.0685
XGBoost (M3 default),1,3,0.5559193594716306,0.5614091408264225,2.92,0.0382
LogisticRegression (baseline),1,3,0.36271153859182026,0.4153192494590427,0.245,0.0039
XGBoost (tuned candidate),1,4,0.5763446418737991,0.5781859291836065,5.596,0.0698
XGBoost (M3 default),1,4,0.5673229013428122,0.5849060901133672,2.863,0.0428
LogisticRegression (baseline),1,4,0.36580566252361124,0.43347501807913047,0.353,0.0036
XGBoost (tuned candidate),1,5,0.5932901201239721,0.5979735294144283,5.348,0.0795
XGBoost (M3 default),1,5,0.5919255846789967,0.6058226473821442,3.145,0.0435
LogisticRegression (baseline),1,5,0.3798854677804928,0.414553220697236,0.333,0.0034
XGBoost (tuned candidate),2,1,0.6044106006444371,0.6093835686712522,4.998,0.0674
XGBoost (M3 default),2,1,0.5980395359041472,0.6087752764098203,2.822,0.0404
LogisticRegression (baseline),2,1,0.37084289796028674,0.4261384377041227,0.289,0.0031
XGBoost (tuned candidate),2,2,0.6289185067566451,0.6406386205720723,4.996,0.0662
XGBoost (M3 default),2,2,0.6163032173434013,0.6377024197237845,2.795,0.0383
LogisticRegression (baseline),2,2,0.37548249277935647,0.4235513879617249,0.256,0.003
XGBoost (tuned candidate),2,3,0.5892566051933558,0.6109573859014983,5.683,0.0683
XGBoost (M3 default),2,3,0.6100575782751889,0.6230564301620627,2.859,0.0415
LogisticRegression (baseline),2,3,0.3717620103865817,0.43155789709280995,0.273,0.003
XGBoost (tuned candidate),2,4,0.5384820978896044,0.5462246564673148,4.95,0.0687
XGBoost (M3 default),2,4,0.5393496105557137,0.5564233662757562,2.953,0.0405
LogisticRegression (baseline),2,4,0.3709176540196217,0.42369944429764145,0.314,0.0044
XGBoost (tuned candidate),2,5,0.5769580261229991,0.5913157741012812,5.014,0.0693
XGBoost (M3 default),2,5,0.5876738924484003,0.5898314916089252,3.145,0.0434
LogisticRegression (baseline),2,5,0.36828322414192644,0.42483279106102434,0.26,0.0042
XGBoost (tuned candidate),3,1,0.5772861023658509,0.5728469684579232,5.667,0.0694
XGBoost (M3 default),3,1,0.5829361234108648,0.5765290919182339,3.129,0.0375
LogisticRegression (baseline),3,1,0.3673522999936147,0.41902751531835697,0.322,0.0031
XGBoost (tuned candidate),3,2,0.5955298266043129,0.6473271923350296,4.853,0.0647
XGBoost (M3 default),3,2,0.6264423083213292,0.6549462830831718,2.831,0.0379
LogisticRegression (baseline),3,2,0.37806791376837817,0.4365034830477821,0.258,0.0037
XGBoost (tuned candidate),3,3,0.6001510952635266,0.5873412326499462,4.944,0.0682
XGBoost (M3 default),3,3,0.600604261282285,0.5938468102602137,3.002,0.05
LogisticRegression (baseline),3,3,0.37645196698368943,0.4406041626845014,0.307,0.006
XGBoost (tuned candidate),3,4,0.6037814672162422,0.616235149731799,4.864,0.0658
XGBoost (M3 default),3,4,0.6179587525542596,0.6209592162220523,2.799,0.0381
LogisticRegression (baseline),3,4,0.3829016743652323,0.4209014202344455,0.296,0.0051
XGBoost (tuned candidate),3,5,0.60198569099891,0.6018966834261988,5.594,0.0712
XGBoost (M3 default),3,5,0.6243134873110036,0.6113688070619271,2.834,0.0377
LogisticRegression (baseline),3,5,0.36143325778766905,0.4194401050379161,0.259,0.0034
